RESEAU,NUMERO_FASE_PO,NOM_PO,ADRS_PO,CP_LOC_COM_PO,NUMERO_FASE_ETAB,NOM_ETAB,ADRS_ETAB,CP_LOC_COM_ETAB,PROV_ETAB,CARACTERE,CONFESSION,QUALITE_DIRECTEUR_ETAB,NOM_DIRECTEUR_ETAB,PRENOM_DIRECTEUR_ETAB,NUMERO_FASE_IMPL,DT_DEBUT,DT_FIN,NOM_IMPL,ADRS_IMPL,CP_LOC_COM_IMPL,UNITE,NUMERO_FASE_IMPL_ETAB
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,2019,ECOLE DE COIFFURE ET DE BIOESTHETIQUE,Rue de Pitteurs 31 ,4020 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Mullenders                    ,Béatrice                      ,6539,1996-09-01,2003-08-31,6539,Rue des Beaux-Arts 4 ,4000 - LIEGE - LIEGE,Secondaire CEFA                                             ,6539-2019
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,2019,ECOLE DE COIFFURE ET DE BIOESTHETIQUE,Rue de Pitteurs 31 ,4020 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Mullenders                    ,Béatrice                      ,7825,2002-09-01,,7825,Rue de Pitteurs 31 ,4020 - LIEGE - LIEGE,Secondaire CEFA                                             ,7825-2019
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,2019,ECOLE DE COIFFURE ET DE BIOESTHETIQUE,Rue de Pitteurs 31 ,4020 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Mullenders                    ,Béatrice                      ,9733,2009-09-01,,9733,Rue Basse-Wez 83 ,4020 - LIEGE - LIEGE,Secondaire CEFA                                             ,9733-2019
Libre non confessionnel                                     ,515,Ecole Decroly - L'Ermitage                                                                                                                                                                                                                                ,Drève des Gendarmes 45 ,1180 - UCCLE - UCCLE,462,ECOLE DECROLY,Drève des Gendarmes 45 ,1180 - UCCLE - UCCLE,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Charlier                      ,Marc                          ,856,1900-01-01,,856,Drève des Gendarmes 45 ,1180 - UCCLE - UCCLE,Secondaire ordinaire                                        ,856-462
Libre non confessionnel                                     ,515,Ecole Decroly - L'Ermitage                                                                                                                                                                                                                                ,Drève des Gendarmes 45 ,1180 - UCCLE - UCCLE,462,ECOLE DECROLY,Drève des Gendarmes 45 ,1180 - UCCLE - UCCLE,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Charlier                      ,Marc                          ,857,1900-01-01,,857,Avenue Hamoir 6 ,1180 - UCCLE - UCCLE,Secondaire ordinaire                                        ,857-462
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1205,ECOLE DU FUTUR,Rue des Etampes 2 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Monsieur                                                                                            ,Caudron                       ,Jérôme                        ,2367,1900-01-01,,2367,Rue des Etampes 2 ,7000 - MONS - MONS,Secondaire ordinaire                                        ,2367-1205
Libre confessionnel                                         ,519,Ecole du Manoir d'Anjou,Drève dArgenteuil 10c ,1410 - WATERLOO - WATERLOO,545,Ecole du Manoir d'Anjou - Ecole secondaire d'enseignement spécialisé libre,Drève d'Argenteuil 10 c,1410 - WATERLOO - WATERLOO,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,Paul                          ,Sybille                       ,978,1900-01-01,,MANOIR D'ANJOU,Drève d'Argenteuil 10C ,1410 - WATERLOO - WATERLOO,Secondaire spécialisé                                       ,978-545
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,1465,ECOLE DU SHAPE SECTION BELGE,Avenue de Paris 705 ,7010 - MONS - SHAPE,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Dawdy                         ,Sarah                         ,2948,1900-01-01,,2948,Avenue de Paris 705 ,7010 - MONS - SHAPE,Secondaire ordinaire                                        ,2948-1465
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,754,Ecole Escale Enseignement fondamental spécialisé,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,DURDU                         ,Olivier                       ,1330,2008-09-01,2009-08-31,L'ECOLE ESCALE,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,Secondaire spécialisé                                       ,1330-754
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,754,Ecole Escale Enseignement fondamental spécialisé,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,DURDU                         ,Olivier                       ,1331,2008-09-01,2009-08-31,L'ECOLE ESCALE 3,Avenue Hippocrate 10 8510,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,Secondaire spécialisé                                       ,1331-754
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,754,Ecole Escale Enseignement fondamental spécialisé,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,DURDU                         ,Olivier                       ,9547,2008-09-01,2009-08-31,PARHELIE,Avenue Jacques Pastur 45 ,1180 - UCCLE - UCCLE,Secondaire spécialisé                                       ,9547-754
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95077,Ecole Escale secondaire 1,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,THIBAUT                       ,Charles                       ,10524,2017-09-01,,Athanor,Rue Saint-Hubert 84 ,5100 - NAMUR - DAVE,Secondaire spécialisé                                       ,10524-95077
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95077,Ecole Escale secondaire 1,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,THIBAUT                       ,Charles                       ,10441,2016-09-01,,Beau Vallon,Rue de Bricgniot 205 ,5002 - NAMUR - SAINT-SERVAIS,Secondaire spécialisé                                       ,10441-95077
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95077,Ecole Escale secondaire 1,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,THIBAUT                       ,Charles                       ,10165,2012-09-01,,Clinique Saint Pierre,Avenue Reine Fabiola 9 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,Secondaire spécialisé                                       ,10165-95077
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95077,Ecole Escale secondaire 1,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,THIBAUT                       ,Charles                       ,9748,2009-09-01,,Ecole Escale secondaire,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,Secondaire spécialisé                                       ,9748-95077
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95077,Ecole Escale secondaire 1,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,THIBAUT                       ,Charles                       ,9751,2009-09-01,2017-08-31,L'Escale 3 secondaire,Avenue Hippocrate 10 8510,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,Secondaire spécialisé                                       ,9751-95077
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95077,Ecole Escale secondaire 1,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,THIBAUT                       ,Charles                       ,10649,2019-09-01,,L'Espérance,Rue Saint-Nicolas 447 ,4420 - SAINT-NICOLAS - SAINT-NICOLAS,Secondaire spécialisé                                       ,10649-95077
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95077,Ecole Escale secondaire 1,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,THIBAUT                       ,Charles                       ,9750,2009-09-01,2014-08-31,La Ramée secondaire,Avenue de la Ramée 21 ,1180 - UCCLE - UCCLE,Secondaire spécialisé                                       ,9750-95077
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95077,Ecole Escale secondaire 1,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,THIBAUT                       ,Charles                       ,9749,2009-09-01,2014-08-31,Parhélie secondaire,Avenue Jacques Pastur 45 ,1180 - UCCLE - UCCLE,Secondaire spécialisé                                       ,9749-95077
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95077,Ecole Escale secondaire 1,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,THIBAUT                       ,Charles                       ,10569,2018-09-01,,Pass@do,Avenue de Scandiano 8 ,1480 - TUBIZE - TUBIZE,Secondaire spécialisé                                       ,10569-95077
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95381,Ecole Escale secondaire 2,Dieweg 69a ,1180 - UCCLE - UCCLE,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Lieutenant                    ,Christian                     ,10291,2014-09-01,,Aréa +,Dieweg 69 ,1180 - UCCLE - UCCLE,Secondaire spécialisé                                       ,10291-95381
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95381,Ecole Escale secondaire 2,Dieweg 69a ,1180 - UCCLE - UCCLE,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Lieutenant                    ,Christian                     ,10437,2016-09-01,,CThA,Place Jean-Baptiste Carnoy 16 ,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,Secondaire spécialisé                                       ,10437-95381
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95381,Ecole Escale secondaire 2,Dieweg 69a ,1180 - UCCLE - UCCLE,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Lieutenant                    ,Christian                     ,10438,2016-09-01,,L'ENTRELIENS,Avenue Konrad Adenauer 4 ,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,Secondaire spécialisé                                       ,10438-95381
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95381,Ecole Escale secondaire 2,Dieweg 69a ,1180 - UCCLE - UCCLE,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Lieutenant                    ,Christian                     ,9751,2017-09-01,,L'Escale 3 secondaire,Avenue Hippocrate 10 8510,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,Secondaire spécialisé                                       ,9751-95381
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95381,Ecole Escale secondaire 2,Dieweg 69a ,1180 - UCCLE - UCCLE,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Lieutenant                    ,Christian                     ,9750,2014-09-01,,La Ramée secondaire,Avenue de la Ramée 21 ,1180 - UCCLE - UCCLE,Secondaire spécialisé                                       ,9750-95381
Libre confessionnel                                         ,969,Ecole Escale,Allée de Clerlande 6 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES-LOUVAIN-LA-NEUVE,95381,Ecole Escale secondaire 2,Dieweg 69a ,1180 - UCCLE - UCCLE,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Lieutenant                    ,Christian                     ,9749,2014-09-01,,Parhélie secondaire,Avenue Jacques Pastur 45 ,1180 - UCCLE - UCCLE,Secondaire spécialisé                                       ,9749-95381
Libre confessionnel                                         ,1589,Pouvoir Organisateur de l'Ecole Escalpade,Rue de la Ferme des Bruyères 26 ,1340 - OTTIGNIES-LOUVAIN-LA-NEUVE - OTTIGNIES,95382,Ecole Escalpade secondaire,Place Albert 1er 1 ,1300 - WAVRE - LIMAL,BRABANT WALLON                                              ,Confessionnel                                     ,Catholique                                        ,Madame                                                                                              ,Verhulst                      ,Frédérique                    ,10293,2014-09-01,,10293,Place Albert 1er 1 ,1300 - WAVRE - LIMAL,Secondaire spécialisé                                       ,10293-95382
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,2056,Ecole fondamentale et secondaire communale spécialisée Type 5 Léopold Mottet,Place Sainte-Walburge 1 ,4000 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,SCHOUTEDEN                    ,Geneviève                     ,10650,2019-09-01,,Bois de l'Abbaye,Rue Laplace 40 ,4100 - SERAING - SERAING,Secondaire spécialisé                                       ,10650-2056
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,2056,Ecole fondamentale et secondaire communale spécialisée Type 5 Léopold Mottet,Place Sainte-Walburge 1 ,4000 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,SCHOUTEDEN                    ,Geneviève                     ,4122,2004-06-07,,LA CITADELLE,Boulevard du Douzième de Ligne 1 ,4000 - LIEGE - LIEGE,Secondaire spécialisé                                       ,4122-2056
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,2056,Ecole fondamentale et secondaire communale spécialisée Type 5 Léopold Mottet,Place Sainte-Walburge 1 ,4000 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,SCHOUTEDEN                    ,Geneviève                     ,9668,2011-09-01,,LA TOURELLE,Rue du Parc 29 ,4800 - VERVIERS - VERVIERS,Secondaire spécialisé                                       ,9668-2056
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,2056,Ecole fondamentale et secondaire communale spécialisée Type 5 Léopold Mottet,Place Sainte-Walburge 1 ,4000 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,SCHOUTEDEN                    ,Geneviève                     ,8990,1900-01-01,,LEOPOLD MOTTET,Place Sainte-Walburge 1 ,4000 - LIEGE - LIEGE,Secondaire spécialisé                                       ,8990-2056
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,2056,Ecole fondamentale et secondaire communale spécialisée Type 5 Léopold Mottet,Place Sainte-Walburge 1 ,4000 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,SCHOUTEDEN                    ,Geneviève                     ,10105,2011-09-01,,Les Machiroux,Rue kerstenne 49 ,4430 - ANS - ANS,Secondaire spécialisé                                       ,10105-2056
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,2056,Ecole fondamentale et secondaire communale spécialisée Type 5 Léopold Mottet,Place Sainte-Walburge 1 ,4000 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,SCHOUTEDEN                    ,Geneviève                     ,4119,2012-09-01,,N D DES BRUYERES,Rue de Gaillarmont 600 ,4032 - LIEGE - CHENEE,Secondaire spécialisé                                       ,4119-2056
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,2056,Ecole fondamentale et secondaire communale spécialisée Type 5 Léopold Mottet,Place Sainte-Walburge 1 ,4000 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,SCHOUTEDEN                    ,Geneviève                     ,9409,2006-09-01,,PETIT BOURGOGNE,Rue Professeur Mahaim 84 ,4000 - LIEGE - LIEGE,Secondaire spécialisé                                       ,9409-2056
Subventionné provincial                                     ,1300,Province de Namur,Rue Henri Blès 188/190 ,5000 - NAMUR - NAMUR,3008,ECOLE HOTELIERE PROVINCIALE DE NAMUR,Avenue de l'Ermitage 7 ,5000 - NAMUR - NAMUR,NAMUR                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Van De Woestyne               ,Dominique                     ,5968,1900-01-01,,5968,Avenue de l'Ermitage 7 ,5000 - NAMUR - NAMUR,Secondaire ordinaire                                        ,5968-3008
Subventionné provincial                                     ,1300,Province de Namur,Rue Henri Blès 188/190 ,5000 - NAMUR - NAMUR,3008,ECOLE HOTELIERE PROVINCIALE DE NAMUR,Avenue de l'Ermitage 7 ,5000 - NAMUR - NAMUR,NAMUR                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Van De Woestyne               ,Dominique                     ,10162,2012-09-01,,10162,RUE DE L INTENDANT 173 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,Secondaire ordinaire                                        ,10162-3008
Subventionné provincial                                     ,1300,Province de Namur,Rue Henri Blès 188/190 ,5000 - NAMUR - NAMUR,3008,ECOLE HOTELIERE PROVINCIALE DE NAMUR,Avenue de l'Ermitage 7 ,5000 - NAMUR - NAMUR,NAMUR                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Van De Woestyne               ,Dominique                     ,10469,2017-09-01,,10469,Avenue de l'Ermitage 7 ,5000 - NAMUR - NAMUR,Secondaire CEFA                                             ,10469-3008
Subventionné provincial                                     ,1300,Province de Namur,Rue Henri Blès 188/190 ,5000 - NAMUR - NAMUR,3008,ECOLE HOTELIERE PROVINCIALE DE NAMUR,Avenue de l'Ermitage 7 ,5000 - NAMUR - NAMUR,NAMUR                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Van De Woestyne               ,Dominique                     ,10470,2017-09-01,,10470,RUE DE L INTENDANT 173 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,Secondaire CEFA                                             ,10470-3008
Libre non confessionnel                                     ,546,Ecole Internationale Le Verseau                                                                                                                                                                                                                           ,Rue de Wavre 60 ,1301 - WAVRE - BIERGES,710,"ECOLE INTERNATIONALE ""LE VERSEAU"" - E.L.C.E.",Rue de Wavre 60 ,1301 - WAVRE - BIERGES,BRABANT WALLON                                              ,Non confessionnel                                 ,,Madame                                                                                              ,Bracegirdle-Brown             ,Helen                         ,1261,1900-01-01,,1261,Rue de Wavre 60 ,1301 - WAVRE - BIERGES,Secondaire ordinaire                                        ,1261-710
Libre non confessionnel                                     ,546,Ecole Internationale Le Verseau                                                                                                                                                                                                                           ,Rue de Wavre 60 ,1301 - WAVRE - BIERGES,710,"ECOLE INTERNATIONALE ""LE VERSEAU"" - E.L.C.E.",Rue de Wavre 60 ,1301 - WAVRE - BIERGES,BRABANT WALLON                                              ,Non confessionnel                                 ,,Madame                                                                                              ,Bracegirdle-Brown             ,Helen                         ,1774,1996-09-01,,1774,Rue Dom Berlière 7 ,6041 - CHARLEROI - GOSSELIES,Secondaire ordinaire                                        ,1774-710
Libre confessionnel                                         ,57,Ecole les Rocailles,Rue Salvotte 10 ,7110 - LA LOUVIERE - HOUDENG-AIMERIES,1409,Ecole Les Rocailles - Enseignement secondaire spécialisé libre,Rue Salvotte 1 ,7110 - LA LOUVIERE - HOUDENG-AIMERIES,HAINAUT                                                     ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Dercq                         ,Damien                        ,2833,1900-01-01,,LES ROCAILLES,Rue Salvotte 1 ,7110 - LA LOUVIERE - HOUDENG-AIMERIES,Secondaire spécialisé                                       ,2833-1409
Libre confessionnel                                         ,1636,Ecole Namuroise de Soins Sainte-Elisabeth,Place Louise Godin 15 ,5000 - NAMUR - NAMUR,2990,Ecole Namuroise de soins Sainte-Elisabeth,Place Louise Godin 15 ,5000 - NAMUR - NAMUR,NAMUR                                                       ,Confessionnel                                     ,Catholique                                        ,Monsieur                                                                                            ,Chavée                        ,Michel                        ,5938,1996-09-01,,5938,Place Louise Godin 15 ,5000 - NAMUR - NAMUR,Secondaire ordinaire                                        ,5938-2990
Libre non confessionnel                                     ,1657,"L'Ecole Plurielle, humanités coopératives",Rue des Cordeaux 8 a,1325 - CHAUMONT-GISTOUX - CORROY-LE-GRAND,95555,Ecole plurielle,Rue de la Bruyère 98 ,1332 - RIXENSART - GENVAL,BRABANT WALLON                                              ,Non confessionnel                                 ,,Madame                                                                                              ,Lambinet                      ,Laetitia                      ,10545,2019-09-01,,10545,Rue de la Bruyère 98 ,1332 - RIXENSART - GENVAL,Secondaire ordinaire                                        ,10545-95555
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,1901,ECOLE POLYTECHNIQUE DE HERSTAL - ENSEIGNEMENT DE LA PROVINCE DE LIEGE,Rue de l'Ecole Technique 34 ,4040 - HERSTAL - HERSTAL,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Pupien                        ,Geneviève                     ,3768,1900-01-01,,3768,Rue de l'Ecole Technique 34 ,4040 - HERSTAL - HERSTAL,Secondaire CEFA                                             ,3768-1901
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,1901,ECOLE POLYTECHNIQUE DE HERSTAL - ENSEIGNEMENT DE LA PROVINCE DE LIEGE,Rue de l'Ecole Technique 34 ,4040 - HERSTAL - HERSTAL,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Pupien                        ,Geneviève                     ,3769,1900-01-01,,3769,Rue de l'Ecole Technique 34 ,4040 - HERSTAL - HERSTAL,Secondaire ordinaire                                        ,3769-1901
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,1779,ECOLE POLYTECHNIQUE DE HUY- ENSEIGNEMENT DE LA PROVINCE DE LIEGE,Rue Saint-Pierre 48 ,4500 - HUY - HUY,LIEGE                                                       ,Non confessionnel                                 ,,Monsieur                                                                                            ,Berzolla                      ,Michael                       ,3540,1900-01-01,,3540,Rue Saint-Pierre 48 ,4500 - HUY - HUY,Secondaire CEFA                                             ,3540-1779
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,1779,ECOLE POLYTECHNIQUE DE HUY- ENSEIGNEMENT DE LA PROVINCE DE LIEGE,Rue Saint-Pierre 48 ,4500 - HUY - HUY,LIEGE                                                       ,Non confessionnel                                 ,,Monsieur                                                                                            ,Berzolla                      ,Michael                       ,3541,1900-01-01,,3541,Rue Saint-Pierre 48 ,4500 - HUY - HUY,Secondaire ordinaire                                        ,3541-1779
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,2128,ECOLE POLYTECHNIQUE DE SERAING - ENSEIGNEMENT DE LA PROVINCE DE LIEGE,Rue de Colard Trouillet 48 ,4100 - SERAING - SERAING,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Tedesco                       ,Carmela Elisa                 ,4260,1900-01-01,,4260,Rue de Colard Trouillet 48 ,4100 - SERAING - SERAING,Secondaire CEFA                                             ,4260-2128
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,2128,ECOLE POLYTECHNIQUE DE SERAING - ENSEIGNEMENT DE LA PROVINCE DE LIEGE,Rue de Colard Trouillet 48 ,4100 - SERAING - SERAING,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Tedesco                       ,Carmela Elisa                 ,4261,1900-01-01,,4261,Rue de Colard Trouillet 48 ,4100 - SERAING - SERAING,Secondaire ordinaire                                        ,4261-2128
